[+] PPP: Beggining PIGA policy parsing and loading...
[+] PPP: Policy successfully parsed. Setting up in the kernel...
[+] PPP: PIGA policy loadded :
[+] 	240853 signatures have been loaded
[+] 	156946 signatures have been ignored
[+] Policy stats : '<name> (<uint>): <count>'
[+] 	SID stats :
[+] 		staff_u:sysadm_r:hwclock_t (414): 169
[+] 		staff_u:sysadm_r:iceauth_t (0): 144
[+] 		staff_u:sysadm_r:ifconfig_t (309): 2549
[+] 		staff_u:sysadm_r:insmod_t (310): 9672
[+] 		staff_u:sysadm_r:iptables_t (312): 1869
[+] 		staff_u:sysadm_r:java_t (0): 325
[+] 		staff_u:sysadm_r:ldconfig_t (354): 749
[+] 		staff_u:sysadm_r:load_policy_t (408): 749
[+] 		staff_u:sysadm_r:lvm_t (311): 2299
[+] 		staff_u:sysadm_r:mdadm_t (425): 144
[+] 		staff_u:sysadm_r:mount_t (472): 3390
[+] 		staff_u:sysadm_r:netutils_t (476): 339
[+] 		staff_u:sysadm_r:newrole_t (235): 6742
[+] 		staff_u:sysadm_r:nscd_t (393): 1114
[+] 		staff_u:sysadm_r:pam_t (587): 144
[+] 		staff_u:sysadm_r:passwd_t (394): 724
[+] 		staff_u:sysadm_r:ping_t (432): 339
[+] 		staff_u:sysadm_r:portage_fetch_t (498): 144
[+] 		staff_u:sysadm_r:portage_sandbox_t (379): 454
[+] 		staff_u:sysadm_r:portage_t (304): 9155
[+] 		staff_u:sysadm_r:run_init_t (226): 54064
[+] 		staff_u:sysadm_r:semanage_t (303): 3024
[+] 		staff_u:sysadm_r:setfiles_t (470): 1284
[+] 		staff_u:sysadm_r:ssh_t (417): 434
[+] 		staff_u:sysadm_r:sysadm_dbusd_t (0): 144
[+] 		staff_u:sysadm_r:sysadm_passwd_t (395): 434
[+] 		staff_u:sysadm_r:sysadm_ssh_agent_t (384): 154
[+] 		staff_u:sysadm_r:sysadm_su_t (459): 724
[+] 		staff_u:sysadm_r:sysadm_sudo_t (0): 6452
[+] 		staff_u:sysadm_r:sysadm_t (225): 109390
[+] 		staff_u:sysadm_r:traceroute_t (335): 169
[+] 		staff_u:sysadm_r:update_modules_t (315): 2206
[+] 		staff_u:sysadm_r:updpwd_t (365): 350
[+] 		staff_u:sysadm_r:user_home_t (0): 945
[+] 		staff_u:sysadm_r:user_mail_t (481): 144
[+] 		staff_u:sysadm_r:user_mozilla_t (0): 833
[+] 		staff_u:sysadm_r:user_tmp_t (0): 901
[+] 		staff_u:sysadm_r:useradd_t (305): 4094
[+] 		staff_u:sysadm_r:utempter_t (362): 144
[+] 		staff_u:sysadm_r:xauth_t (0): 1570
[+] 		staff_u:sysadm_r:xserver_t (0): 5495
[+] 		sysadm_u:object_r:gpg_agent_tmp_t (0): 3295
[+] 		sysadm_u:object_r:home_ssh_t (477): 3295
[+] 		sysadm_u:object_r:iceauth_home_t (0): 823
[+] 		sysadm_u:object_r:java_tmp_t (0): 5
[+] 		sysadm_u:object_r:ld_so_cache_t (422): 5
[+] 		sysadm_u:object_r:portage_tmp_t (387): 11
[+] 		sysadm_u:object_r:session_dbusd_tmp_t (0): 27
[+] 		sysadm_u:object_r:ssh_agent_tmp_t (519): 71
[+] 		sysadm_u:object_r:user_devpts_t (407): 1025
[+] 		sysadm_u:object_r:user_mozilla_tmp_t (0): 431
[+] 		sysadm_u:object_r:user_mozilla_tmpfs_t (0): 971
[+] 		sysadm_u:object_r:user_tty_device_t (552): 913
[+] 		sysadm_u:object_r:xauth_home_t (0): 823
[+] 		sysadm_u:object_r:xserver_tmp_t (0): 931
[+] 		sysadm_u:object_r:xserver_tmpfs_t (0): 931
[+] 		sysadm_u:sysadm_r:admin_crontab_t (441): 212
[+] 		sysadm_u:sysadm_r:auditctl_t (580): 95
